Measuring points - characteristics


MANDT	 ZCOLNR	 ZVALUE	 ATNAM	 INDCT
X	 X	 X	 	
Client	 AM: Column number	 Position	 Characteristic Name	 Indicator to Show that Measuring Point Is a Counter
MANDT-CLNT(3)	 ZCHAR3-CHAR(3)	 ZCHAR3-CHAR(3)	 ATNAM-CHAR(30)	 X-CHAR(1)
100	 022	 960	 ZAM_REF1TEMP	
100	 022	 962	 ZAM_REFCOMPOUTTEMP	
100	 022	 964	 ZAM_HGBVSWITCHES	 X
100	 022	 966	 ZAM_FAN1STARTS	 X
100	 023	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 023	 015	 ZAM_RHRSTOTAL	 X
100	 023	 020	 ZAM_RHRSLOADED	
100	 023	 021	 ZAM_RHRSLOADED_E2	
100	 023	 022	 ZAM_RHRSLOADED_E3	
100	 023	 023	 ZAM_RHRSLOADED_E4	
100	 023	 040	 ZAM_WORKPRESS	
100	 023	 060	 ZAM_AMBTEMP	
100	 023	 100	 ZAM_OUTLTEMP_ELT1	
100	 023	 140	 ZAM_OUTLTEMP_ELT2	
100	 023	 180	 ZAM_OUTLTEMP_ELT3	
100	 023	 198	 ZAM_OUTLTEMP_ELT4	
100	 023	 460	 ZAM_LAT	
100	 023	 760	 ZAM_MOTOR_CURRENT_U1	
100	 023	 770	 ZAM_MOTOR_CURRENT_V1	
100	 023	 780	 ZAM_MOTOR_CURRENT_W1	
100	 024	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 024	 015	 ZAM_RHRSTOTAL	 X
100	 024	 020	 ZAM_FUELLEVEL	
100	 024	 060	 ZAM_AMBTEMP	
100	 024	 350	 ZAM_OILPRESS	
100	 024	 910	 ZAM_FREQUENS	
100	 024	 920	 ZAM_OILPRESS_DIESELENGINE	
100	 024	 922	 ZAM_COOLTEMP_DIESELENGINE	
100	 024	 924	 ZAM_GENERATOR_U1	
100	 024	 930	 ZAM_GENERATOR_CURRENT_U1	
100	 024	 938	 ZAM_BATTERYVOLTAGE	
100	 024	 940	 ZAM_SERVICETIMER1	
100	 024	 942	 ZAM_SERVICETIMER2	
100	 025	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 025	 015	 ZAM_RHRSTOTAL	 X
100	 025	 020	 ZAM_RHRSLOADED	
100	 025	 024	 ZAM_MOTORSTART	
100	 025	 026	 ZAM_MODULEHOURS	
100	 025	 028	 ZAM_LOADRELAY	
100	 025	 031	 ZAM_VSD_1-20_PERC_RPM	
100	 025	 032	 ZAM_VSD_20-40_PERC_RPM	
100	 025	 033	 ZAM_VSD_40-60_PERC_RPM	
100	 025	 034	 ZAM_VSD_60-80_PERC_RPM	
100	 025	 035	 ZAM_VSD_80-100_PERC_RPM	
100	 025	 040	 ZAM_WORKPRESS	
100	 025	 062	 ZAM_CONVERTERTEMP	
100	 025	 090	 ZAM_INLPRESS_ELT1	
100	 025	 100	 ZAM_OUTLTEMP_ELT1	
100	 025	 140	 ZAM_OUTLTEMP_ELT2	
100	 025	 350	 ZAM_OILPRESS	
100	 025	 790	 ZAM_COOLWATER_IN	
100	 026	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 026	 015	 ZAM_RHRSTOTAL	 X
100	 026	 040	 ZAM_WORKPRESS	
100	 026	 060	 ZAM_AMBTEMP	
100	 026	 100	 ZAM_OUTLTEMP_ELT1	
100	 026	 660	 ZAM_SPMMOTDE	
100	 026	 670	 ZAM_SPMLMOTNDE	
100	 026	 680	 ZAM_SPMELTP1	
100	 026	 690	 ZAM_SPMELTP2	
100	 026	 720	 ZAM_SPMGEARBOX	
100	 026	 760	 ZAM_MOTOR_CURRENT_U1	
100	 026	 770	 ZAM_MOTOR_CURRENT_V1	
100	 026	 780	 ZAM_MOTOR_CURRENT_W1	
100	 027	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 027	 015	 ZAM_RHRSTOTAL	 X
100	 027	 040	 ZAM_WORKPRESS	
100	 027	 060	 ZAM_AMBTEMP	
100	 027	 450	 ZAM_PRESSDEWP	
100	 027	 500	 ZAM_REGENINLTEMP	
100	 027	 510	 ZAM_REGENOUTLTEMP	
