AM: Allowed Unit of measures for activity type


MANDT	 KOKRS	 WERKS	 LARNT	 MEINH
X	 X	 X	 X	 X
Client	 Controlling Area	 Plant	 Activity Type	 Unit of Measure for Activity/Operation
MANDT-CLNT(3)	 CACCD-CHAR(4)	 WERKS-CHAR(4)	 LSTAR-CHAR(6)	 MEINS-UNIT(3)
100	 1000	 CD01	 ZAM034	 STD
100	 1000	 CD01	 ZAM035	 STD
100	 1000	 CD01	 ZAM039	 UA
100	 1000	 CD01	 ZAM044	 STD
100	 1000	 CD01	 ZAM049	 STD
100	 1000	 CD01	 ZAM050	 LCU
100	 1000	 CD01	 ZAM051	 LCU
100	 1000	 CD01	 ZAM052	 STD
100	 1000	 CD01	 ZAM054	 STD
100	 1000	 CD01	 ZAM055	 STD
100	 1000	 CD01	 ZAM056	 STD
100	 1000	 CD01	 ZAM057	 STD
100	 1000	 CD01	 ZAM058	 STD
100	 1000	 CD01	 ZAM059	 STD
100	 1000	 CD01	 ZAM060	 STD
100	 1000	 CD01	 ZAM064	 LCU
100	 1000	 CD01	 ZAM067	 STD
100	 1000	 CD01	 ZAM068	 STD
100	 1000	 CD01	 ZAM069	 STD
100	 1000	 CD01	 ZAM070	 STD
100	 1000	 CD01	 ZAM071	 STD
100	 1000	 CD01	 ZAM072	 STD
100	 1000	 CD01	 ZAM073	 STD
100	 1000	 CD01	 ZAM074	 STD
100	 1000	 CD01	 ZAM075	 STD
100	 1000	 CD01	 ZNP001	 STD
100	 1000	 CD01	 ZNP002	 STD
100	 1000	 CD01	 ZNP003	 STD
100	 1000	 CD01	 ZNP004	 STD
100	 1000	 CD01	 ZNP005	 STD
100	 1000	 CD01	 ZNP006	 STD
100	 1000	 CD01	 ZNP007	 STD
100	 1000	 CD01	 ZNP008	 STD
100	 1000	 CD01	 ZNP012	 STD
100	 1000	 CD01	 ZNP013	 STD
100	 1000	 CD01	 ZNP015	 STD
100	 1000	 CD01	 ZNP016	 STD
100	 1000	 CD01	 ZNP026	 LCU
100	 1000	 CD01	 ZNP027	 STD
100	 1000	 CD01	 ZNP028	 STD
100	 1000	 CD01	 ZNP031	 STD
100	 1000	 CD01	 ZNP032	 STD
100	 1000	 CD01	 ZNP035	 STD
100	 1000	 CHAA	 ZAM001	 STD
100	 1000	 CHAA	 ZAM004	 STD
100	 1000	 CHAA	 ZAM007	 STD
100	 1000	 CHAA	 ZAM010	 KMT
100	 1000	 CHAA	 ZAM019	 CHF
100	 1000	 CHAA	 ZAM020	 CHF
100	 1000	 CHAA	 ZAM025	 STD
100	 1000	 CHAA	 ZAM026	 UA
100	 1000	 CHAA	 ZAM027	 UA
100	 1000	 CHAA	 ZAM030	 STD
100	 1000	 CHAA	 ZAM034	 STD
100	 1000	 CHAA	 ZAM039	 UA
100	 1000	 CHAA	 ZAM042	 KGT
100	 1000	 CHAA	 ZAM044	 STD
100	 1000	 CHAA	 ZAM046	 CHF
100	 1000	 CHAA	 ZAM053	 CHF
100	 1000	 CHAA	 ZAM063	 KMT
100	 1000	 CHAA	 ZAM065	 EUR
100	 1000	 CHAA	 ZNP001	 STD
100	 1000	 CHAA	 ZNP002	 STD
100	 1000	 CHAA	 ZNP003	 STD
100	 1000	 CHAA	 ZNP004	 STD
100	 1000	 CHAA	 ZNP005	 STD
100	 1000	 CHAA	 ZNP006	 STD
100	 1000	 CHAA	 ZNP007	 STD
100	 1000	 CHAA	 ZNP008	 STD
100	 1000	 CHAA	 ZNP009	 STD
100	 1000	 CHAA	 ZNP012	 STD
100	 1000	 CHAA	 ZNP013	 STD
100	 1000	 CHAA	 ZNP014	 KMT
100	 1000	 CHAA	 ZNP015	 STD
100	 1000	 CHAA	 ZNP017	 CHF
100	 1000	 CHAA	 ZNP021	 UA
100	 1000	 CHAA	 ZNP022	 KMT
100	 1000	 CHAA	 ZNP023	 STD
100	 1000	 CN01	 ZAM001	 STD
100	 1000	 CN01	 ZAM004	 STD
100	 1000	 CN01	 ZAM007	 STD
100	 1000	 CN01	 ZAM025	 STD
100	 1000	 CN01	 ZAM027	 UA
100	 1000	 CN01	 ZAM034	 STD
100	 1000	 CN01	 ZAM035	 STD
100	 1000	 CN01	 ZAM039	 UA
100	 1000	 CN01	 ZAM044	 STD
100	 1000	 CN01	 ZAM049	 STD
100	 1000	 CN01	 ZAM050	 LCU
100	 1000	 CN01	 ZAM051	 LCU
100	 1000	 CN01	 ZAM052	 STD
100	 1000	 CN01	 ZAM054	 STD
100	 1000	 CN01	 ZAM055	 STD
100	 1000	 CN01	 ZAM056	 STD
100	 1000	 CN01	 ZAM057	 STD
100	 1000	 CN01	 ZAM058	 STD
100	 1000	 CN01	 ZAM059	 STD
100	 1000	 CN01	 ZAM060	 STD
100	 1000	 CN01	 ZAM064	 LCU
100	 1000	 CN01	 ZAM067	 STD
100	 1000	 CN01	 ZAM068	 STD
100	 1000	 CN01	 ZAM069	 STD
100	 1000	 CN01	 ZAM070	 STD
100	 1000	 CN01	 ZAM071	 STD
100	 1000	 CN01	 ZAM072	 STD
100	 1000	 CN01	 ZAM073	 STD
100	 1000	 CN01	 ZAM074	 STD
100	 1000	 CN01	 ZAM075	 STD
100	 1000	 CN01	 ZNP001	 STD
100	 1000	 CN01	 ZNP002	 STD
100	 1000	 CN01	 ZNP003	 STD
100	 1000	 CN01	 ZNP004	 STD
100	 1000	 CN01	 ZNP005	 STD
100	 1000	 CN01	 ZNP006	 STD
100	 1000	 CN01	 ZNP007	 STD
100	 1000	 CN01	 ZNP008	 STD
