Tcodes linked with single role


MANDT	 AGR_NAME	 TCODE
X	 X	 X
Client	 Role Name	 Extended program name
MANDT-CLNT(3)	 AGR_NAME-CHAR(30)	 EXTDREPORT-CHAR(48)
100	 ZCQCA_RDC_CS_DISPLAY	 CM07
100	 ZCQCA_RDC_CS_DISPLAY	 CR03
100	 ZCQCA_RDC_CS_DISPLAY	 CR06
100	 ZCQCA_RDC_CS_DISPLAY	 IA07
100	 ZCQCA_RDC_CS_DISPLAY	 IE03
100	 ZCQCA_RDC_CS_DISPLAY	 IH08
100	 ZCQCA_RDC_CS_DISPLAY	 IH10
100	 ZCQCA_RDC_CS_DISPLAY	 IH11
100	 ZCQCA_RDC_CS_DISPLAY	 IK03
100	 ZCQCA_RDC_CS_DISPLAY	 IK06
100	 ZCQCA_RDC_CS_DISPLAY	 IK07
100	 ZCQCA_RDC_CS_DISPLAY	 IK13
100	 ZCQCA_RDC_CS_DISPLAY	 IL03
100	 ZCQCA_RDC_CS_DISPLAY	 IL13
100	 ZCQCA_RDC_CS_DISPLAY	 IP03
100	 ZCQCA_RDC_CS_DISPLAY	 IP06
100	 ZCQCA_RDC_CS_DISPLAY	 IP12
100	 ZCQCA_RDC_CS_DISPLAY	 IP16
100	 ZCQCA_RDC_CS_DISPLAY	 IP18
100	 ZCQCA_RDC_CS_DISPLAY	 IQ03
100	 ZCQCA_RDC_CS_DISPLAY	 IQ09
100	 ZCQCA_RDC_CS_DISPLAY	 IR03
100	 ZCQCA_RDC_CS_DISPLAY	 IW33
100	 ZCQCA_RDC_CS_DISPLAY	 IW3M
100	 ZCQCA_RDC_CS_DISPLAY	 IW40
100	 ZCQCA_RDC_CS_DISPLAY	 IW43
100	 ZCQCA_RDC_CS_DISPLAY	 IW47
100	 ZCQCA_RDC_CS_DISPLAY	 IW49
100	 ZCQCA_RDC_CS_DISPLAY	 IW49N
100	 ZCQCA_RDC_CS_DISPLAY	 IW53
100	 ZCQCA_RDC_CS_DISPLAY	 IW63
100	 ZCQCA_RDC_CS_DISPLAY	 IW73
100	 ZCQCA_RDC_CS_DISPLAY	 IW75
100	 ZCQCA_RDC_CS_DISPLAY	 KCH3
100	 ZCQCA_RDC_CS_DISPLAY	 KCH6
100	 ZCQCA_RDC_CS_DISPLAY	 KCH6N
100	 ZCQCA_RDC_CS_DISPLAY	 KE24
100	 ZCQCA_RDC_CS_DISPLAY	 KE30
100	 ZCQCA_RDC_CS_DISPLAY	 KE53
100	 ZCQCA_RDC_CS_DISPLAY	 KEO3
100	 ZCQCA_RDC_CS_DISPLAY	 KKAC
100	 ZCQCA_RDC_CS_DISPLAY	 KL03
100	 ZCQCA_RDC_CS_DISPLAY	 KS03
100	 ZCQCA_RDC_CS_DISPLAY	 MB03
100	 ZCQCA_RDC_CS_DISPLAY	 MB51
100	 ZCQCA_RDC_CS_DISPLAY	 MB52
100	 ZCQCA_RDC_CS_DISPLAY	 ME23N
100	 ZCQCA_RDC_CS_DISPLAY	 MM03
100	 ZCQCA_RDC_CS_DISPLAY	 MM04
