Table for Profit center derivation on Class


MANDT	 SPART	 BRAN1	 CLASS
X	 X	 X	
MANDT-CLNT(3)	 SPART-CHAR(2)	 BRACO-CHAR(10)	 CHAR4-CHAR(4)
100	 01	 334210	 GIN
100	 01	 33422	 GIN
100	 01	 334220	 GIN
100	 01	 33429	 GIN
100	 01	 334290	 GIN
100	 01	 3343	 GIN
100	 01	 33431	 GIN
100	 01	 334310	 GIN
100	 01	 3344	 GIN
100	 01	 33441	 GIN
100	 01	 334411	 GIN
100	 01	 334412	 GIN
100	 01	 334413	 GIN
100	 01	 334414	 GIN
100	 01	 334415	 GIN
100	 01	 334416	 GIN
100	 01	 334417	 GIN
100	 01	 334418	 GIN
100	 01	 334419	 GIN
100	 01	 3345	 GIN
100	 01	 33451	 GIN
100	 01	 334510	 GIN
100	 01	 334511	 GIN
100	 01	 334512	 GIN
100	 01	 334513	 GIN
100	 01	 334514	 GIN
100	 01	 334515	 GIN
100	 01	 334516	 GIN
100	 01	 334517	 GIN
100	 01	 334518	 GIN
100	 01	 334519	 GIN
100	 01	 3346	 GIN
100	 01	 33461	 GIN
100	 01	 334611	 GIN
100	 01	 334612	 GIN
100	 01	 334613	 GIN
100	 01	 334614	 GIN
100	 01	 3351	 GIN
100	 01	 33511	 GIN
100	 01	 335110	 GIN
100	 01	 33512	 GIN
100	 01	 335121	 GIN
100	 01	 335122	 GIN
100	 01	 335129	 GIN
100	 01	 3352	 GIN
100	 01	 33521	 GIN
100	 01	 335210	 GIN
100	 01	 335211	 GIN
100	 01	 335212	 GIN
100	 01	 33522	 GIN
100	 01	 335221	 GIN
100	 01	 335222	 GIN
100	 01	 335224	 GIN
100	 01	 335228	 GIN
100	 01	 3353	 GIN
100	 01	 33531	 GIN
100	 01	 335311	 GIN
100	 01	 335312	 GIN
100	 01	 335313	 GIN
100	 01	 335314	 GIN
100	 01	 3359	 GIN
100	 01	 33591	 GIN
100	 01	 335911	 GIN
100	 01	 335912	 GIN
100	 01	 33592	 GIN
100	 01	 335921	 GIN
100	 01	 335929	 GIN
100	 01	 33593	 GIN
100	 01	 335931	 GIN
100	 01	 335932	 GIN
100	 01	 33599	 GIN
100	 01	 335991	 GIN
100	 01	 335999	 GIN
100	 01	 3361	 MVI
100	 01	 33611	 MVI
100	 01	 336111	 MVI
100	 01	 336111A	 MVI
100	 01	 336111B	 MVI
100	 01	 336111C	 MVI
100	 01	 336111D	 MVI
100	 01	 336111E	 MVI
100	 01	 336112	 MVI
100	 01	 33612	 MVI
100	 01	 336120	 MVI
100	 01	 3362	 MVI
100	 01	 33621	 MVI
100	 01	 336211	 MVI
100	 01	 336211A	 MVI
100	 01	 336212	 GIN
100	 01	 336213	 GIN
100	 01	 336214	 GIN
100	 01	 3363	 MVI
