Table for profit centre derivation rules


MANDT	 PRCTR	 SEGMENT	 YVALFROM	 YVALTO
X	 X	 X	 X	
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 FB_SEGMENT-CHAR(10)	 TTE_DT_VALIDFR-DATS(8)	 DATS-DATS(8)
100	 88Y	 CRS	 20120101	 20141231
100	 88Z	 CRS	 20120101	 99991231
100	 89A	 MRS	 20120101	 99991231
100	 89B	 CRS	 20120101	 99991231
100	 89D	 MRS	 20120101	 99991231
100	 89E	 MRS	 20120101	 99991231
100	 89F	 MRS	 20120101	 99991231
100	 89K	 MRS	 20120101	 99991231
100	 89P	 0000002740	 20150101	 99991231
100	 89P	 CRS	 20120101	 20141231
100	 8CUR	 0000002740	 20150101	 99991231
100	 8EUA	 0000001310	 20150101	 20151231
100	 8EUA	 APW	 20160101	 99991231
100	 8EUC	 0000002410	 20150101	 99991231
100	 8EUR	 0000002740	 20150101	 99991231
100	 8SCG	 GPP	 20150101	 99991231
100	 8SCI	 GPP	 20150101	 99991231
