ACC: mapping transportation zone - data


MANDT	 VKORG	 VTWEG	 SPART	 ZVALUE_FIELD	 LZONE
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 ZVALUE_FIELD-CHAR(10)	 ZONE-CHAR(10)
100	 CN01	 01	 01	 0742	 CN00120006
100	 CN01	 01	 01	 0743	 CN00120002
100	 CN01	 01	 01	 0750	 CN00120004
100	 CN01	 01	 01	 0751	 CN00120008
100	 CN01	 01	 01	 0752	 CN00120008
100	 CN01	 01	 01	 0753	 CN00120008
100	 CN01	 01	 01	 0754	 CN00120008
100	 CN01	 01	 01	 0755	 CN00120008
100	 CN01	 01	 01	 0756	 CN00120008
100	 CN01	 01	 01	 0757	 CN00120008
100	 CN01	 01	 01	 0758	 CN00120008
100	 CN01	 01	 01	 0761	 CN00120008
100	 CN01	 01	 01	 0762	 CN00120008
100	 CN01	 01	 01	 0763	 CN00120008
100	 CN01	 01	 01	 0764	 CN00120008
100	 CN01	 01	 01	 0765	 CN00120008
100	 CN01	 01	 01	 0766	 CN00120008
100	 CN01	 01	 01	 0767	 CN00120008
100	 CN01	 01	 01	 0821	 CN00120008
100	 CN01	 01	 01	 1000	 CN00010001
100	 CN01	 01	 01	 1001	 CN00010001
100	 CN01	 01	 01	 1002	 CN00010001
100	 CN01	 01	 01	 1003	 CN00010001
100	 CN01	 01	 01	 1004	 CN00010001
100	 CN01	 01	 01	 1005	 CN00010001
100	 CN01	 01	 01	 1006	 CN00010001
100	 CN01	 01	 01	 1007	 CN00010001
100	 CN01	 01	 01	 1008	 CN00010001
100	 CN01	 01	 01	 1009	 CN00010001
100	 CN01	 01	 01	 1010	 CN00010001
100	 CN01	 01	 01	 1011	 CN00010001
100	 CN01	 01	 01	 1012	 CN00010001
100	 CN01	 01	 01	 1013	 CN00010001
100	 CN01	 01	 01	 1014	 CN00010001
100	 CN01	 01	 01	 1015	 CN00010001
100	 CN01	 01	 01	 1016	 CN00010001
100	 CN01	 01	 01	 1017	 CN00010001
100	 CN01	 01	 01	 1018	 CN00010001
100	 CN01	 01	 01	 1019	 CN00010001
100	 CN01	 01	 01	 1020	 CN00010001
100	 CN01	 01	 01	 1021	 CN00010001
100	 CN01	 01	 01	 1022	 CN00010001
100	 CN01	 01	 01	 1023	 CN00010001
100	 CN01	 01	 01	 1024	 CN00010001
100	 CN01	 01	 01	 1025	 CN00010001
100	 CN01	 01	 01	 1026	 CN00010001
100	 CN01	 01	 01	 1027	 CN00010001
100	 CN01	 01	 01	 1028	 CN00010001
100	 CN01	 01	 01	 1029	 CN00010001
100	 CN01	 01	 01	 1100	 CN00200001
100	 CN01	 01	 01	 1101	 CN00200003
100	 CN01	 01	 01	 1102	 CN00200003
100	 CN01	 01	 01	 1103	 CN00200003
100	 CN01	 01	 01	 1104	 CN00200003
100	 CN01	 01	 01	 1105	 CN00200003
100	 CN01	 01	 01	 1110	 CN00200003
100	 CN01	 01	 01	 1112	 CN00200004
100	 CN01	 01	 01	 1113	 CN00200006
100	 CN01	 01	 01	 1120	 CN00200004
100	 CN01	 01	 01	 1123	 CN00200005
100	 CN01	 01	 01	 1124	 CN00200005
100	 CN01	 01	 01	 1125	 CN00200005
100	 CN01	 01	 01	 1126	 CN00200004
100	 CN01	 01	 01	 1127	 CN00200004
100	 CN01	 01	 01	 1130	 CN00200003
100	 CN01	 01	 01	 1131	 CN00200004
100	 CN01	 01	 01	 1132	 CN00200005
100	 CN01	 01	 01	 1133	 CN00200005
100	 CN01	 01	 01	 1140	 CN00200002
100	 CN01	 01	 01	 1141	 CN00200004
100	 CN01	 01	 01	 1142	 CN00200004
100	 CN01	 01	 01	 1143	 CN00200004
