PGC's to derive measuring points


MANDT	 ZPRODH3	 ZCOLNR
X	 X	
MANDT-CLNT(3)	 ZPRODH3-CHAR(4)	 ZCHAR3-CHAR(3)
100	 682	 X01
100	 683	 X01
100	 7301	 D01
100	 7302	 D01
100	 7303	 D01
100	 7304	 D01
100	 7305	 D01
100	 792	 X01
100	 793	 X01
100	 794	 X01
100	 88E	 D01
100	 88G	 D01
100	 890	 X01
100	 896	 X01
100	 897	 X07
100	 898	 X01
100	 8999	 D01
100	 9999	 D01
100	 ACAA	 74
100	 AOAC	 74
100	 AZAA	 1
100	 CKOM	 78
100	 CKPM	 78
100	 CKZM	 78
100	 CLOM	 78
100	 CLPM	 78
100	 CNAA	 074
100	 COAA	 074
100	 CWOM	 78
100	 CWQM	 78
100	 CWZM	 78
100	 ESCC	 78
100	 ESEM	 78
100	 ESNA	 1
100	 EUAA	 73
100	 H100	 D01
100	 H110	 D01
100	 H150	 D01
100	 H160	 D01
100	 H200	 D01
100	 H210	 D01
100	 H250	 D01
100	 H300	 D01
100	 H400	 D01
100	 J100	 D01
100	 J150	 D01
100	 J200	 D01
100	 J250	 D01
100	 J300	 D01
100	 J350	 D01
100	 J400	 D01
100	 K100	 D01
100	 K150	 D01
100	 K180	 D01
100	 K200	 D01
100	 K280	 D01
100	 K500	 D01
100	 K600	 D01
100	 K700	 D01
100	 L900	 D01
100	 NNAC	 074
100	 NNQA	 074
100	 NOQA	 074
100	 ONAB	 001
100	 OOAB	 074
100	 PCIA	 74
100	 PCOA	 74
100	 PCPA	 74
100	 PCPM	 78
100	 PCZA	 74
100	 PCZM	 78
100	 PDCC	 78
100	 PDMA	 78
100	 PEPM	 78
100	 PMOA	 74
100	 PMOM	 78
100	 PMPM	 78
100	 PMQM	 78
100	 PMZA	 74
100	 PMZM	 78
100	 PZAA	 074
100	 SMZA	 74
100	 SYT1	 071
100	 YOAA	 073
