SEED Service product selection CT


MANDT	 GAC	 PGC	 MATKL	 EQUIPID	 MATNR
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 RKEG_WW006-CHAR(4)	 RKEG_WW007-CHAR(4)	 MATKL-CHAR(9)	 CHAR01-CHAR(1)	 MATNR-CHAR(18)
100	 51W	 51R	 042ZER	 	 000000010000453759
100	 51W	 51S	 042ZER	 	 000000010000453760
100	 51X	 *	 042ZFP	 	 000000010000369745
100	 51X	 *	 042ZOH	 	 000000010000455951
100	 51X	 *	 043ZIS03	 	 000000010000404046
100	 51X	 *	 043ZIS04	 	 000000010000404047
100	 51X	 *	 043ZSR	 	 000000010000369746
100	 51X	 51A	 042ZER	 	 000000010000453759
100	 541	 *	 042ZFP	 	 000000010000369740
100	 541	 *	 043ZIS03	 	 000000010000404046
100	 541	 *	 043ZIS04	 	 000000010000404047
100	 541	 *	 043ZSR	 	 000000010000369741
100	 542	 *	 042ZFP	 	 000000010000369743
100	 542	 *	 043ZIS03	 	 000000010000404046
100	 542	 *	 043ZIS04	 	 000000010000404047
100	 542	 *	 043ZSR	 	 000000010000369744
100	 543	 *	 042ZFP	 	 000000010000369751
100	 543	 *	 043ZIS03	 	 000000010000404046
100	 543	 *	 043ZIS04	 	 000000010000404047
100	 543	 *	 043ZSR	 	 000000010000369752
100	 544	 *	 042ZFP	 	 000000010000369747
100	 544	 *	 043ZIS03	 	 000000010000404046
100	 544	 *	 043ZIS04	 	 000000010000404047
100	 544	 *	 043ZSR	 	 000000010000369748
100	 550	 *	 042ZFP	 	 000000010000369776
100	 550	 *	 043ZIS03	 	 000000010000404046
100	 550	 *	 043ZIS04	 	 000000010000404047
100	 550	 *	 043ZSR	 	 000000010000369777
100	 553	 *	 042ZFP	 	 000000010000369774
100	 553	 *	 043ZIS03	 	 000000010000404046
100	 553	 *	 043ZIS04	 	 000000010000404047
100	 553	 *	 043ZSR	 	 000000010000369775
100	 554	 *	 042ZFP	 	 000000010000369776
100	 554	 *	 043ZIS03	 	 000000010000404046
100	 554	 *	 043ZIS04	 	 000000010000404047
100	 554	 *	 043ZSR	 	 000000010000369777
100	 57	 *	 042ZFP	 	 000000010000369749
100	 57	 *	 043ZIS03	 	 000000010000404046
100	 57	 *	 043ZIS04	 	 000000010000404047
100	 57	 *	 043ZSR	 	 000000010000369750
100	 571	 *	 042ZFP	 	 000000010000369749
100	 571	 *	 043ZIS03	 	 000000010000404046
100	 571	 *	 043ZIS04	 	 000000010000404047
100	 571	 *	 043ZSR	 	 000000010000369750
100	 573	 *	 042ZFP	 	 000000010000369749
100	 573	 *	 043ZIS03	 	 000000010000404046
100	 573	 *	 043ZIS04	 	 000000010000404047
100	 573	 *	 043ZSR	 	 000000010000369750
100	 575	 *	 042ZFP	 	 000000010000369749
100	 575	 *	 043ZIS03	 	 000000010000404046
100	 575	 *	 043ZIS04	 	 000000010000404047
100	 575	 *	 043ZSR	 	 000000010000369750
100	 58	 *	 042ZFP	 	 000000010000369753
100	 58	 *	 043ZIS03	 	 000000010000404046
100	 58	 *	 043ZIS04	 	 000000010000404047
100	 58	 *	 043ZSR	 	 000000010000369754
100	 583	 *	 042ZFP	 	 000000010000369753
100	 583	 *	 043ZIS03	 	 000000010000404046
100	 583	 *	 043ZIS04	 	 000000010000404047
100	 583	 *	 043ZSR	 	 000000010000369754
100	 58F	 *	 042ZFP	 	 000000010000369753
100	 58F	 *	 043ZIS03	 	 000000010000404046
100	 58F	 *	 043ZIS04	 	 000000010000404047
100	 58F	 *	 043ZSR	 	 000000010000369754
100	 58M	 *	 042ZFP	 	 000000010000369753
100	 58M	 *	 043ZIS03	 	 000000010000404046
100	 58M	 *	 043ZIS04	 	 000000010000404047
100	 58M	 *	 043ZSR	 	 000000010000369754
