Characteristic Values for Models


MANDT	 ZNAME	 ZVALUE	 ATNAM	 INDCT
X	 X	 X	 	
MANDT-CLNT(3)	 ZCHAR_1-CHAR(2)	 ZCHAR3-CHAR(3)	 ATNAM-CHAR(30)	 X-CHAR(1)
100	 LX	 090	 ZAM_INLPRESS_ELT1	
100	 LX	 100	 ZAM_OUTLTEMP_ELT1	
100	 LX	 120	 ZAM_INLTEMP_ELT2	
100	 LX	 130	 ZAM_INLPRESS_ELT2	
100	 LX	 140	 ZAM_OUTLTEMP_ELT2	
100	 LX	 210	 ZAM_COOLCOMPRINTEMP	
100	 LX	 220	 ZAM_COOLCOMPROUTTEMP	
100	 LX	 230	 ZAM_IC1INTEMP	
100	 LX	 240	 ZAM_IC1OUTTEMP	
100	 LX	 270	 ZAM_ACINTEMP	
100	 LX	 280	 ZAM_ACOUTTEMP	
100	 LX	 290	 ZAM_OCINTEMP	
100	 LX	 340	 ZAM_COOLCOMPRINPRESS	
100	 LX	 350	 ZAM_COOLCOMPOUTPRESS	
100	 LX	 450	 ZAM_ATMOSDEWP	
100	 LX	 460	 ZAM_PRESSDEWP	
100	 LX	 480	 ZAM_DINLTEMP	
100	 LX	 490	 ZAM_DOUTLTEMP	
100	 LX	 500	 ZAM_DOUTLPRESS	
100	 LX	 580	 ZAM_DCOOLINLTEMP	
100	 LX	 590	 ZAM_DCOOLINLPRESS	
100	 LX	 600	 ZAM_DCOOLOUTLTEMP	
100	 LX	 610	 ZAM_DCOOLOUTLETPRESS	
100	 SF	 010	 ZAM_RHRSTOTAL	 X
100	 SF	 020	 ZAM_RHRSLOADED	 X
100	 SF	 040	 ZAM_WORKPRESS	
100	 SF	 050	 ZAM_AMBPRESS	
100	 SF	 060	 ZAM_AMBTEMP	
100	 SF	 070	 ZAM_DPAIRFILTER	
100	 SF	 080	 ZAM_INLTEMP_ELT1	
100	 SF	 090	 ZAM_INLPRESS_ELT1	
100	 SF	 100	 ZAM_OUTLTEMP_ELT1	
100	 SF	 120	 ZAM_INLTEMP_ELT2	
100	 SF	 130	 ZAM_INLPRESS_ELT2	
100	 SF	 140	 ZAM_OUTLTEMP_ELT2	
100	 SF	 210	 ZAM_COOLCOMPRINTEMP	
100	 SF	 220	 ZAM_COOLCOMPROUTTEMP	
100	 SF	 230	 ZAM_IC1INTEMP	
100	 SF	 240	 ZAM_IC1OUTTEMP	
100	 SF	 270	 ZAM_ACINTEMP	
100	 SF	 280	 ZAM_ACOUTTEMP	
100	 SF	 290	 ZAM_OCINTEMP	
100	 SF	 340	 ZAM_COOLCOMPRINPRESS	
100	 SF	 350	 ZAM_COOLCOMPOUTPRESS	
100	 SF	 450	 ZAM_ATMOSDEWP	
100	 SF	 460	 ZAM_PRESSDEWP	
100	 SF	 480	 ZAM_DINLTEMP	
100	 SF	 490	 ZAM_DOUTLTEMP	
100	 SF	 500	 ZAM_DOUTLPRESS	
100	 SF	 580	 ZAM_DCOOLINLTEMP	
100	 SF	 590	 ZAM_DCOOLINLPRESS	
100	 SF	 600	 ZAM_DCOOLOUTLTEMP	
100	 SF	 610	 ZAM_DCOOLOUTLETPRESS	
100	 SN	 010	 ZAM_RHRSTOTAL	 X
100	 SN	 020	 ZAM_RHRSLOADED	 X
100	 SN	 040	 ZAM_WORKPRESS	
100	 SN	 050	 ZAM_AMBPRESS	
100	 SN	 060	 ZAM_AMBTEMP	
100	 SN	 070	 ZAM_DPAIRFILTER	
100	 SN	 080	 ZAM_INLTEMP_ELT1	
100	 SN	 090	 ZAM_INLPRESS_ELT1	
100	 SN	 100	 ZAM_OUTLTEMP_ELT1	
100	 SN	 120	 ZAM_INLTEMP_ELT2	
100	 SN	 130	 ZAM_INLPRESS_ELT2	
100	 SN	 140	 ZAM_OUTLTEMP_ELT2	
100	 SN	 210	 ZAM_COOLCOMPRINTEMP	
100	 SN	 220	 ZAM_COOLCOMPROUTTEMP	
100	 SN	 230	 ZAM_IC1INTEMP	
100	 SN	 240	 ZAM_IC1OUTTEMP	
100	 SN	 270	 ZAM_ACINTEMP	
100	 SN	 280	 ZAM_ACOUTTEMP	
100	 SN	 290	 ZAM_OCINTEMP	
100	 SN	 340	 ZAM_COOLCOMPRINPRESS	
100	 SN	 350	 ZAM_COOLCOMPOUTPRESS	
100	 SN	 450	 ZAM_ATMOSDEWP	
100	 SN	 460	 ZAM_PRESSDEWP	
100	 SN	 480	 ZAM_DINLTEMP	
100	 SN	 490	 ZAM_DOUTLTEMP	
100	 SN	 500	 ZAM_DOUTLPRESS	
100	 SN	 580	 ZAM_DCOOLINLTEMP	
100	 SN	 590	 ZAM_DCOOLINLPRESS	
100	 SN	 600	 ZAM_DCOOLOUTLTEMP	
100	 SN	 610	 ZAM_DCOOLOUTLETPRESS	
100	 ZA	 010	 ZAM_RHRSTOTAL	 X
100	 ZA	 020	 ZAM_RHRSLOADED	 X
100	 ZA	 030	 ZAM_ACCVOL	 X
100	 ZA	 040	 ZAM_WORKPRESS	
100	 ZA	 050	 ZAM_AMBPRESS	
100	 ZA	 060	 ZAM_AMBTEMP	
100	 ZA	 070	 ZAM_DPAIRFILTER	
100	 ZA	 080	 ZAM_INLTEMP_ELT1	
100	 ZA	 090	 ZAM_INLPRESS_ELT1	
100	 ZA	 100	 ZAM_OUTLTEMP_ELT1	
100	 ZA	 110	 ZAM_OUTLPRESS_ELT1	
100	 ZA	 120	 ZAM_INLTEMP_ELT2	
100	 ZA	 130	 ZAM_INLPRESS_ELT2	
100	 ZA	 140	 ZAM_OUTLTEMP_ELT2	
100	 ZA	 150	 ZAM_OUTLPRESS_ELT2	
100	 ZA	 210	 ZAM_COOLCOMPRINTEMP	
100	 ZA	 220	 ZAM_COOLCOMPROUTTEMP	
100	 ZA	 230	 ZAM_IC1INTEMP	
100	 ZA	 240	 ZAM_IC1OUTTEMP	
100	 ZA	 270	 ZAM_ACINTEMP	
100	 ZA	 280	 ZAM_ACOUTTEMP	
100	 ZA	 290	 ZAM_OCINTEMP	
100	 ZA	 300	 ZAM_OCOUTTEMP	
100	 ZA	 340	 ZAM_COOLCOMPRINPRESS	
100	 ZA	 350	 ZAM_COOLCOMPOUTPRESS	
100	 ZA	 360	 ZAM_OILPRESS	
100	 ZA	 370	 ZAM_OILTEMP	
100	 ZA	 450	 ZAM_ATMOSDEWP	
100	 ZA	 460	 ZAM_PRESSDEWP	
100	 ZA	 480	 ZAM_DINLTEMP	
100	 ZA	 490	 ZAM_DOUTLTEMP	
100	 ZA	 500	 ZAM_DOUTLPRESS	
100	 ZA	 510	 ZAM_REGENINLTEMP	
100	 ZA	 520	 ZAM_REGENOUTLTEMP	
100	 ZA	 530	 ZAM_COMPROUTLDINLTEMP	
100	 ZA	 540	 ZAM_REGENINLDINLTEMP	
100	 ZA	 550	 ZAM_DMIXAIRDINLTEMP	
100	 ZA	 560	 ZAM_REGENAIRINLREGENAIROUTLET	
100	 ZA	 570	 ZAM_DPRESSDEWPINLTEMP	
100	 ZA	 580	 ZAM_DCOOLINLTEMP	
100	 ZA	 590	 ZAM_DCOOLINLPRESS	
100	 ZA	 600	 ZAM_DCOOLOUTLTEMP	
100	 ZA	 610	 ZAM_DCOOLOUTLETPRESS	
100	 ZA	 620	 ZAM_MOTWINDU1TEMP	
100	 ZA	 630	 ZAM_MOTWINDV1TEMP	
100	 ZA	 640	 ZAM_MOTWINDW1TEMP	
100	 ZA	 650	 ZAM_MOTDETEMP	
100	 ZA	 660	 ZAM_MOTNDETEMP	
100	 ZA	 670	 ZAM_SPMMOTDE	
100	 ZA	 680	 ZAM_SPMLMOTNDE	
100	 ZA	 690	 ZAM_SPMELTP1	
100	 ZA	 700	 ZAM_SPMELTP2	
100	 ZA	 710	 ZAM_SPMELTP3	
100	 ZA	 720	 ZAM_SPMELTP4	
100	 ZA	 730	 ZAM_SPMGEARBOX	
100	 ZB	 010	 ZAM_RHRSTOTAL	 X
100	 ZB	 020	 ZAM_RHRSLOADED	 X
100	 ZB	 030	 ZAM_ACCVOL	 X
100	 ZB	 040	 ZAM_WORKPRESS	
100	 ZB	 050	 ZAM_AMBPRESS	
100	 ZB	 060	 ZAM_AMBTEMP	
100	 ZB	 070	 ZAM_DPAIRFILTER	
100	 ZB	 080	 ZAM_INLTEMP_ELT1	
100	 ZB	 090	 ZAM_INLPRESS_ELT1	
100	 ZB	 100	 ZAM_OUTLTEMP_ELT1	
100	 ZB	 110	 ZAM_OUTLPRESS_ELT1	
100	 ZB	 120	 ZAM_INLTEMP_ELT2	
100	 ZB	 130	 ZAM_INLPRESS_ELT2	
100	 ZB	 140	 ZAM_OUTLTEMP_ELT2	
100	 ZB	 150	 ZAM_OUTLPRESS_ELT2	
100	 ZB	 210	 ZAM_COOLCOMPRINTEMP	
100	 ZB	 220	 ZAM_COOLCOMPROUTTEMP	
100	 ZB	 230	 ZAM_IC1INTEMP	
100	 ZB	 240	 ZAM_IC1OUTTEMP	
100	 ZB	 270	 ZAM_ACINTEMP	
100	 ZB	 280	 ZAM_ACOUTTEMP	
100	 ZB	 290	 ZAM_OCINTEMP	
100	 ZB	 300	 ZAM_OCOUTTEMP	
100	 ZB	 340	 ZAM_COOLCOMPRINPRESS	
100	 ZB	 350	 ZAM_COOLCOMPOUTPRESS	
100	 ZB	 360	 ZAM_OILPRESS	
100	 ZB	 370	 ZAM_OILTEMP	
100	 ZB	 450	 ZAM_ATMOSDEWP	
100	 ZB	 460	 ZAM_PRESSDEWP	
100	 ZB	 480	 ZAM_DINLTEMP	
100	 ZB	 490	 ZAM_DOUTLTEMP	
100	 ZB	 500	 ZAM_DOUTLPRESS	
100	 ZB	 510	 ZAM_REGENINLTEMP	
100	 ZB	 520	 ZAM_REGENOUTLTEMP	
100	 ZB	 530	 ZAM_COMPROUTLDINLTEMP	
100	 ZB	 540	 ZAM_REGENINLDINLTEMP	
100	 ZB	 550	 ZAM_DMIXAIRDINLTEMP	
100	 ZB	 560	 ZAM_REGENAIRINLREGENAIROUTLET	
100	 ZB	 570	 ZAM_DPRESSDEWPINLTEMP	
100	 ZB	 580	 ZAM_DCOOLINLTEMP	
100	 ZB	 590	 ZAM_DCOOLINLPRESS	
100	 ZB	 600	 ZAM_DCOOLOUTLTEMP	
100	 ZB	 610	 ZAM_DCOOLOUTLETPRESS	
100	 ZB	 620	 ZAM_MOTWINDU1TEMP	
100	 ZB	 630	 ZAM_MOTWINDV1TEMP	
100	 ZB	 640	 ZAM_MOTWINDW1TEMP	
100	 ZB	 650	 ZAM_MOTDETEMP	
100	 ZB	 660	 ZAM_MOTNDETEMP	
100	 ZB	 670	 ZAM_SPMMOTDE	
100	 ZB	 680	 ZAM_SPMLMOTNDE	
100	 ZB	 690	 ZAM_SPMELTP1	
100	 ZB	 700	 ZAM_SPMELTP2	
100	 ZB	 710	 ZAM_SPMELTP3	
100	 ZB	 720	 ZAM_SPMELTP4	
100	 ZB	 730	 ZAM_SPMGEARBOX	
100	 ZE	 010	 ZAM_RHRSTOTAL	 X
100	 ZE	 020	 ZAM_RHRSLOADED	 X
100	 ZE	 030	 ZAM_ACCVOL	 X
100	 ZE	 040	 ZAM_WORKPRESS	
100	 ZE	 050	 ZAM_AMBPRESS	
100	 ZE	 060	 ZAM_AMBTEMP	
100	 ZE	 070	 ZAM_DPAIRFILTER	
100	 ZE	 080	 ZAM_INLTEMP_ELT1	
100	 ZE	 090	 ZAM_INLPRESS_ELT1	
100	 ZE	 100	 ZAM_OUTLTEMP_ELT1	
100	 ZE	 110	 ZAM_OUTLPRESS_ELT1	
