IW32	 SAPLCOIH	 3000	 I	 E	 IW	 461	 Error when calculating costs	 for order 004000000713.	 	 	 CTU	
Workflow ser ord	 134949	   1	 	 	 	 	 Order 4000000881 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 143611	   1	 	 	 	 	 Order 4000000680 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 144619	   1	 	 	 	 	 Order 4000000882 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 145422	   1	 	 	 	 	 Order 4000000883 is locked and cannot be changed	 	 	 	 	
test	 test	 	 	 	 	 	 	 	 	 	 	
equi crea idoc check	 141654	 	 	 	 	 	 TEST13	 	 	 	 	
equi crea idoc befor	 141655	 	 	 	 	 	 	 	 	 	 	
equi crea idoc	 141110	 	 	 	 	 	 000000000010004226000000000000000798	 	 	 	 	
equi crea idoc	 141118	 	 	 	 	 	 000000000010004321000000000000000893	 	 	 	 	
equi crea idoc	 141111	 	 	 	 	 	 000000000010004240000000000000000812	 	 	 	 	
equi crea idoc	 141112	 	 	 	 	 	 000000000010004254000000000000000826	 	 	 	 	
equi crea idoc	 141114	 	 	 	 	 	 000000000010004266000000000000000838	 	 	 	 	
equi crea idoc	 141119	 	 	 	 	 	 000000000010004330000000000000000902	 	 	 	 	
equi crea idoc	 141115	 	 	 	 	 	 000000000010004283000000000000000855	 	 	 	 	
equi crea idoc	 141116	 	 	 	 	 	 000000000010004291000000000000000863	 	 	 	 	
equi crea idoc	 141117	 	 	 	 	 	 000000000010004304000000000000000876	 	 	 	 	
equi crea idoc	 141124	 	 	 	 	 	 000000000010004391000000000000000963	 	 	 	 	
equi crea idoc	 141121	 	 	 	 	 	 000000000010004355000000000000000927	 	 	 	 	
equi crea idoc	 141123	 	 	 	 	 	 000000000010004377000000000000000949	 	 	 	 	
equi crea idoc	 141120	 	 	 	 	 	 000000000010004345000000000000000917	 	 	 	 	
equi crea idoc	 141126	 	 	 	 	 	 000000000010004407000000000000000979	 	 	 	 	
equi crea idoc	 141122	 	 	 	 	 	 000000000010004365000000000000000937	 	 	 	 	
equi crea idoc	 141127	 	 	 	 	 	 000000000010004421000000000000000993	 	 	 	 	
equi crea idoc	 141125	 	 	 	 	 	 000000000010004403000000000000000975	 	 	 	 	
equi crea idoc	 142625	 	 	 	 	 	 000000000010011777000000000000008349	 	 	 	 	
equi crea idoc	 142626	 	 	 	 	 	 000000000010011775000000000000008347	 	 	 	 	
equi crea idoc	 141501	 	 	 	 	 	 000000000010006331000000000000002903	 	 	 	 	
equi crea idoc	 141526	 	 	 	 	 	 000000000010006551000000000000003123	 	 	 	 	
equi crea idoc	 141627	 	 	 	 	 	 000000000010007076000000000000003648	 	 	 	 	
equi crea idoc	 141548	 	 	 	 	 	 000000000010006748000000000000003320	 	 	 	 	
equi crea idoc	 141607	 	 	 	 	 	 000000000010006924000000000000003496	 	 	 	 	
equi crea idoc	 141128	 	 	 	 	 	 000000000010004434000000000000001006	 	 	 	 	
equi crea idoc	 141502	 	 	 	 	 	 000000000010006342000000000000002914	 	 	 	 	
equi crea idoc	 141527	 	 	 	 	 	 000000000010006561000000000000003133	 	 	 	 	
equi crea idoc	 141549	 	 	 	 	 	 000000000010006756000000000000003328	 	 	 	 	
equi crea idoc	 141628	 	 	 	 	 	 000000000010007086000000000000003658	 	 	 	 	
equi crea idoc	 141129	 	 	 	 	 	 000000000010004443000000000000001015	 	 	 	 	
equi crea idoc	 141503	 	 	 	 	 	 000000000010006350000000000000002922	 	 	 	 	
equi crea idoc	 141608	 	 	 	 	 	 000000000010006933000000000000003505	 	 	 	 	
equi crea idoc	 141629	 	 	 	 	 	 000000000010007092000000000000003664	 	 	 	 	
equi crea idoc	 141130	 	 	 	 	 	 000000000010004456000000000000001028	 	 	 	 	
equi crea idoc	 141528	 	 	 	 	 	 000000000010006570000000000000003142	 	 	 	 	
equi crea idoc	 141550	 	 	 	 	 	 000000000010006765000000000000003337	 	 	 	 	
equi crea idoc	 141504	 	 	 	 	 	 000000000010006362000000000000002934	 	 	 	 	
equi crea idoc	 141131	 	 	 	 	 	 000000000010004462000000000000001034	 	 	 	 	
equi crea idoc	 141609	 	 	 	 	 	 000000000010006944000000000000003516	 	 	 	 	
equi crea idoc	 141551	 	 	 	 	 	 000000000010006774000000000000003346	 	 	 	 	
equi crea idoc	 141529	 	 	 	 	 	 000000000010006583000000000000003155	 	 	 	 	
equi crea idoc	 141132	 	 	 	 	 	 000000000010004470000000000000001042	 	 	 	 	
equi crea idoc	 141552	 	 	 	 	 	 000000000010006782000000000000003354	 	 	 	 	
equi crea idoc	 141505	 	 	 	 	 	 000000000010006377000000000000002949	 	 	 	 	
equi crea idoc	 141610	 	 	 	 	 	 000000000010006953000000000000003525	 	 	 	 	
equi crea idoc	 141530	 	 	 	 	 	 000000000010006593000000000000003165	 	 	 	 	
equi crea idoc	 141133	 	 	 	 	 	 000000000010004483000000000000001055	 	 	 	 	
equi crea idoc	 141506	 	 	 	 	 	 000000000010006374000000000000002946	 	 	 	 	
