[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_WOFD_UPDATE_RECOVER,N/A,183,90,93,51%,YRD_PP_WOFD_UPDATE_RECOVER
[Totle], ,183,90,93,51%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_RECEIPT_PO,N/A,489,398,91,19%,Mass create sales order for Nanjing CC
[Totle], ,489,398,91,19%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_RVV50R10C,N/A,35,13,22,63%,Deliver Documents Due for Delivery
/SPE/V50RSEL_PARNAX,N/A,17,13,4,24%,Include /SPE/V50RSEL_PARNAX
/SPE/V50R_ON_SEL_CRIT,N/A,37,28,9,24%,Include /SPE/V50R_ON_SEL_CRIT
BDDIREKT,N/A,19,5,14,74%,Include /SPE/V50R_ON_SEL_CRIT
LV01APRO,N/A,31,14,17,55%,Include contains the values for the log types
RVDIREKT,N/A,891,673,218,24%,Direct Values
RVMESSAGE,N/A,54,38,16,30%,Direct Values
RVV50TOP,N/A,58,41,17,29%,Direct Values
RVVBTYP,N/A,116,87,29,25%,Direct Values
TDOBJECTS,N/A,6,2,4,67%,Direct Values
V50RCONST,N/A,109,63,46,42%,Direct Values
V50RMACRO,N/A,59,30,29,49%,Direct Values
V50RPPTOP,N/A,4,1,3,75%,Direct Values
V50RSEL_ABLAD,N/A,4,1,3,75%,Direct Values
V50RSEL_ABTNR,N/A,6,3,3,50%,Direct Values
V50RSEL_AUART,N/A,4,1,3,75%,Direct Values
V50RSEL_AULWE,N/A,6,3,3,50%,Direct Values
V50RSEL_AUTLF,N/A,8,5,3,38%,Direct Values
V50RSEL_BLOCK_A,N/A,20,13,7,35%,Direct Values
V50RSEL_BLOCK_B,N/A,18,11,7,39%,Direct Values
V50RSEL_BLOCK_C,N/A,15,8,7,47%,Direct Values
V50RSEL_BLOCK_D,N/A,11,4,7,64%,Direct Values
V50RSEL_BLOCK_E,N/A,14,5,9,64%,Direct Values
V50RSEL_BLOCK_F,N/A,12,6,6,50%,Direct Values
V50RSEL_BLOCK_G,N/A,227,128,99,44%,Direct Values
V50RSEL_BLOCK_H,N/A,4,1,3,75%,Direct Values
V50RSEL_BLOCK_HEADER,N/A,17,9,8,47%,Direct Values
V50RSEL_EADFP,N/A,7,4,3,43%,Direct Values
V50RSEL_EBELN,N/A,7,3,4,57%,Direct Values
V50RSEL_KDMAT,N/A,6,3,3,50%,Direct Values
V50RSEL_KEY1,N/A,12,5,7,58%,Direct Values
V50RSEL_KUNN2,N/A,13,9,4,31%,Direct Values
V50RSEL_KUNNR,N/A,7,4,3,43%,Direct Values
V50RSEL_KUNWE,N/A,7,3,4,57%,Direct Values
V50RSEL_LEDAT,N/A,7,4,3,43%,Direct Values
V50RSEL_LERUL,N/A,23,7,16,70%,Direct Values
V50RSEL_LGORT,N/A,4,1,3,75%,Direct Values
V50RSEL_LIFSP,N/A,23,15,8,35%,Direct Values
V50RSEL_LPRIO,N/A,4,1,3,75%,Direct Values
V50RSEL_MATKL,N/A,4,1,3,75%,Direct Values
V50RSEL_MATNR,N/A,17,8,9,53%,Direct Values
V50RSEL_PARVW,N/A,6,3,3,50%,Direct Values
V50RSEL_PRNAM,N/A,38,24,14,37%,Direct Values
